ProblemSet,RProblem,Solver's Answer
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,4
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,3
Basic Problems C,Basic Problem C-06,7
Basic Problems C,Basic Problem C-07,2
Basic Problems C,Basic Problem C-08,5
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,7
Basic Problems C,Basic Problem C-11,4
Basic Problems C,Basic Problem C-12,8
Challenge Problems C,Challenge Problem C-01,7
Challenge Problems C,Challenge Problem C-02,7
Challenge Problems C,Challenge Problem C-03,3
Challenge Problems C,Challenge Problem C-04,6
Challenge Problems C,Challenge Problem C-05,6
Challenge Problems C,Challenge Problem C-06,7
Challenge Problems C,Challenge Problem C-07,3
Challenge Problems C,Challenge Problem C-08,7
Challenge Problems C,Challenge Problem C-09,8
Challenge Problems C,Challenge Problem C-10,2
Challenge Problems C,Challenge Problem C-11,4
Challenge Problems C,Challenge Problem C-12,3
Challenge Problems D,Challenge Problem D-01,2
Challenge Problems D,Challenge Problem D-02,1
Challenge Problems D,Challenge Problem D-03,4
Challenge Problems D,Challenge Problem D-04,6
Challenge Problems D,Challenge Problem D-05,2
Challenge Problems D,Challenge Problem D-06,6
Challenge Problems D,Challenge Problem D-07,5
Challenge Problems D,Challenge Problem D-08,6
Challenge Problems D,Challenge Problem D-09,2
Challenge Problems D,Challenge Problem D-10,8
Challenge Problems D,Challenge Problem D-11,7
Challenge Problems D,Challenge Problem D-12,8
Challenge Problems E,Challenge Problem E-01,1
Challenge Problems E,Challenge Problem E-02,3
Challenge Problems E,Challenge Problem E-03,5
Challenge Problems E,Challenge Problem E-04,6
Challenge Problems E,Challenge Problem E-05,2
Challenge Problems E,Challenge Problem E-06,2
Challenge Problems E,Challenge Problem E-07,-1
Challenge Problems E,Challenge Problem E-08,6
Challenge Problems E,Challenge Problem E-09,1
Challenge Problems E,Challenge Problem E-10,5
Challenge Problems E,Challenge Problem E-11,1
Challenge Problems E,Challenge Problem E-12,8
Basic Problems D,Basic Problem D-01,3
Basic Problems D,Basic Problem D-02,1
Basic Problems D,Basic Problem D-03,3
Basic Problems D,Basic Problem D-04,1
Basic Problems D,Basic Problem D-05,7
Basic Problems D,Basic Problem D-06,1
Basic Problems D,Basic Problem D-07,1
Basic Problems D,Basic Problem D-08,4
Basic Problems D,Basic Problem D-09,3
Basic Problems D,Basic Problem D-10,1
Basic Problems D,Basic Problem D-11,3
Basic Problems D,Basic Problem D-12,3
Basic Problems E,Basic Problem E-01,1
Basic Problems E,Basic Problem E-02,7
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,8
Basic Problems E,Basic Problem E-05,5
Basic Problems E,Basic Problem E-06,8
Basic Problems E,Basic Problem E-07,3
Basic Problems E,Basic Problem E-08,1
Basic Problems E,Basic Problem E-09,7
Basic Problems E,Basic Problem E-10,8
Basic Problems E,Basic Problem E-11,5
Basic Problems E,Basic Problem E-12,6
